R0_first_eval,R1_first_eval,R2_first_eval,full_coverage_eval
16.0,,,
45.0,107.0,107.0,107.0
779.0,121.0,121.0,779.0
201.0,,,
140.0,,,
109.0,13.0,13.0,109.0
498.0,353.0,353.0,498.0
97.0,6.0,6.0,97.0
364.0,14.0,14.0,364.0
7.0,278.0,278.0,278.0
11.0,836.0,836.0,836.0
114.0,,,
144.0,724.0,724.0,724.0
108.0,10.0,10.0,108.0
5.0,,,
,,,
5.0,226.0,226.0,226.0
269.0,346.0,346.0,346.0
450.0,382.0,382.0,450.0
,4.0,4.0,
67.0,,,
64.0,159.0,159.0,159.0
337.0,445.0,445.0,445.0
36.0,394.0,394.0,394.0
125.0,469.0,469.0,469.0
215.0,,,
82.0,548.0,548.0,548.0
430.0,,,
18.0,,,
519.0,212.0,212.0,519.0
