R0_first_eval,R1_first_eval,R2_first_eval,full_coverage_eval
252,538,538,538
106,13,13,106
10,292,292,292
21,450,450,450
88,153,153,153
61,488,488,488
54,633,633,633
83,303,303,303
111,356,356,356
34,653,653,653
77,375,375,375
68,321,321,321
128,345,345,345
31,310,310,310
53,301,301,301
168,318,318,318
123,3,3,123
330,460,460,460
35,303,303,303
15,340,340,340
96,465,465,465
261,97,97,261
61,432,432,432
30,303,303,303
170,70,70,170
168,851,851,851
28,348,348,348
23,473,473,473
336,411,411,411
48,314,314,314
