R0_first_eval,R1_first_eval,R2_first_eval,full_coverage_eval
96,336,336,336
22,460,460,460
309,342,342,342
88,408,408,408
86,327,327,327
143,154,154,154
298,432,432,432
42,260,260,260
6,303,303,303
43,436,436,436
313,195,195,313
72,310,310,310
74,392,392,392
3,333,333,333
48,317,317,317
235,310,310,310
180,387,387,387
35,493,493,493
168,505,505,505
63,416,416,416
11,301,301,301
339,53,53,339
94,308,308,308
140,530,530,530
35,308,308,308
64,118,118,118
140,360,360,360
23,692,692,692
165,389,389,389
108,114,114,114
