R0,R1,R2,R3,R4,R5,conjunction
4,0,0,0,9,9,9
9,0,0,2,11,13,13
26,0,0,0,31,31,31
17,0,0,2,21,23,23
12,0,0,4,16,20,20
8,0,0,2,14,16,16
13,0,0,0,28,28,28
6,0,0,5,10,15,15
1,0,0,6,2,8,8
1,1,1,4,2,6,6
11,0,0,3,12,15,15
5,0,0,2,7,9,9
10,0,0,5,21,26,26
9,0,0,1,12,12,12
23,0,0,1,31,32,32
12,0,1,6,18,24,24
0,0,0,2,0,2,2
5,0,0,9,9,18,18
11,0,0,0,19,19,19
3,0,0,1,5,6,6
4,0,0,3,7,10,10
5,0,0,2,12,14,14
18,0,0,1,24,25,25
4,0,0,3,6,9,9
2,0,0,1,5,6,6
5,0,0,11,11,22,22
14,0,0,7,20,27,27
9,0,0,6,13,19,19
9,1,1,4,16,20,20
26,0,0,4,35,39,39
