R0_first_eval,R1_first_eval,R2_first_eval,R3_first_eval,R4_first_eval,R5_first_eval,full_coverage_eval
280.0,,,,220.0,220.0,
4.0,,,662.0,4.0,4.0,
192.0,,,,192.0,192.0,
307.0,,,629.0,282.0,282.0,
196.0,,,286.0,196.0,196.0,
127.0,,,626.0,127.0,127.0,
189.0,,,,189.0,189.0,
307.0,,,325.0,171.0,171.0,
776.0,,,362.0,776.0,362.0,
872.0,431.0,431.0,92.0,775.0,92.0,872.0
83.0,,,311.0,83.0,83.0,
6.0,,,458.0,6.0,6.0,
267.0,,,314.0,204.0,204.0,
164.0,,,3.0,164.0,3.0,
62.0,,,121.0,62.0,62.0,
2.0,,595.0,300.0,2.0,2.0,
8.0,,,270.0,8.0,8.0,
349.0,,,296.0,212.0,212.0,
209.0,,,,209.0,209.0,
820.0,,,49.0,325.0,49.0,
15.0,,,253.0,15.0,15.0,
470.0,,,346.0,276.0,276.0,
260.0,,,924.0,202.0,202.0,
81.0,,,597.0,81.0,81.0,
70.0,,,761.0,70.0,70.0,
286.0,,,356.0,276.0,276.0,
208.0,,,308.0,208.0,208.0,
282.0,,,248.0,262.0,248.0,
198.0,1050.0,1050.0,734.0,198.0,198.0,1050.0
97.0,,,404.0,97.0,97.0,
