R0,R1,R2,R3,R4,R5,conjunction
15,0,0,8,22,30,30
10,2,2,4,13,17,17
8,6,6,15,10,25,25
18,16,16,43,28,71,71
4,30,30,69,6,75,75
2,1,1,20,2,22,22
5,4,4,8,6,14,14
20,2,2,10,28,38,38
14,5,5,20,22,42,42
16,0,0,4,24,28,28
19,0,0,12,32,44,44
9,1,1,7,14,21,21
12,0,0,3,14,17,17
23,3,3,11,35,46,46
19,0,0,1,32,33,33
36,1,1,7,45,52,52
9,7,7,15,13,28,28
13,0,0,8,23,31,31
6,2,2,7,8,15,15
3,13,13,35,7,42,42
11,0,0,0,16,16,16
0,8,8,28,0,28,28
20,2,2,8,27,35,35
8,0,0,0,10,10,10
18,12,12,35,29,64,64
5,0,0,0,9,9,9
10,1,1,10,14,24,24
4,1,1,4,7,11,11
6,0,0,0,11,11,11
9,2,2,18,11,29,29
