R0_first_eval,R1_first_eval,R2_first_eval,R3_first_eval,R4_first_eval,R5_first_eval,full_coverage_eval
13.0,,,88.0,13.0,13.0,
47.0,107.0,107.0,97.0,47.0,47.0,107.0
219.0,123.0,123.0,123.0,219.0,123.0,219.0
128.0,482.0,482.0,292.0,128.0,128.0,482.0
137.0,39.0,39.0,31.0,137.0,31.0,137.0
118.0,13.0,13.0,13.0,118.0,13.0,118.0
110.0,877.0,877.0,219.0,110.0,110.0,877.0
121.0,5.0,5.0,5.0,121.0,5.0,121.0
64.0,14.0,14.0,9.0,64.0,9.0,64.0
9.0,,,472.0,9.0,9.0,
22.0,,,343.0,22.0,22.0,
287.0,538.0,538.0,290.0,287.0,287.0,538.0
10.0,,,148.0,10.0,10.0,
106.0,13.0,13.0,9.0,46.0,9.0,106.0
10.0,,,73.0,10.0,10.0,
184.0,80.0,80.0,77.0,184.0,77.0,184.0
1.0,121.0,121.0,99.0,1.0,1.0,121.0
64.0,,,346.0,64.0,64.0,
39.0,384.0,384.0,381.0,39.0,39.0,384.0
406.0,170.0,170.0,17.0,299.0,17.0,406.0
90.0,,,,87.0,87.0,
,118.0,118.0,104.0,,104.0,
335.0,484.0,484.0,105.0,266.0,105.0,484.0
18.0,,,,18.0,18.0,
133.0,460.0,460.0,275.0,130.0,130.0,460.0
126.0,,,,115.0,115.0,
102.0,504.0,504.0,71.0,87.0,71.0,504.0
460.0,161.0,161.0,144.0,460.0,144.0,460.0
13.0,,,,13.0,13.0,
545.0,132.0,132.0,130.0,545.0,130.0,545.0
