R0,R1,R2,R3,R4,R5,conjunction
18,2,2,7,28,35,35
26,1,1,19,37,56,56
56,0,0,4,76,80,80
50,0,0,7,68,74,74
39,0,0,11,58,67,67
30,0,0,5,53,58,58
22,0,0,5,33,38,38
25,0,0,2,36,38,38
42,0,0,2,61,62,62
49,1,1,17,68,85,85
29,0,0,10,40,50,50
30,0,0,13,52,64,64
33,0,0,6,44,50,50
18,0,0,3,31,34,34
30,0,0,1,38,39,39
40,0,0,3,58,60,60
38,0,0,2,51,52,52
26,0,0,5,36,40,40
25,1,1,3,43,46,46
28,0,0,2,40,42,42
49,0,0,5,65,70,70
18,1,1,5,33,38,38
30,0,0,9,44,52,52
38,0,0,5,61,66,66
23,0,0,9,32,41,41
22,0,0,4,37,41,41
24,0,0,4,37,41,41
42,0,0,6,55,60,60
39,0,1,8,54,62,62
28,0,0,2,47,49,49
