R0,R1,R2,R3,R4,R5,conjunction
10,1,1,6,16,22,39
4,1,1,13,4,17,21
13,1,1,19,17,35,53
11,3,3,23,18,40,59
16,1,1,8,21,29,50
6,1,1,14,8,22,30
16,0,0,9,23,32,56
14,0,0,16,20,36,56
10,2,2,21,13,34,47
8,1,1,19,12,30,43
17,2,2,12,23,35,59
6,1,1,18,11,29,40
15,2,2,9,20,29,49
9,0,0,11,20,31,51
8,5,5,20,10,30,41
11,3,3,14,21,35,56
14,1,1,20,21,41,62
11,0,0,18,16,34,50
6,1,1,16,14,30,44
14,0,0,5,21,25,48
16,4,4,15,25,39,65
16,1,1,17,19,36,55
10,1,1,10,19,29,48
6,0,0,8,12,20,32
18,3,3,17,23,40,63
10,1,1,21,17,36,55
5,1,1,3,8,11,20
10,0,0,11,18,29,47
11,2,2,9,15,24,39
12,1,1,16,13,29,42
