R0_first_eval,R1_first_eval,R2_first_eval,R3_first_eval,R4_first_eval,R5_first_eval,full_coverage_eval
45.0,456.0,456.0,37.0,35.0,35.0,456.0
211.0,501.0,501.0,110.0,211.0,110.0,501.0
25.0,829.0,829.0,18.0,25.0,18.0,829.0
265.0,315.0,315.0,105.0,42.0,42.0,315.0
133.0,580.0,580.0,185.0,133.0,133.0,580.0
58.0,392.0,392.0,144.0,54.0,54.0,392.0
32.0,,,30.0,32.0,30.0,
15.0,,,303.0,15.0,15.0,
43.0,301.0,301.0,14.0,43.0,14.0,301.0
212.0,492.0,492.0,108.0,120.0,108.0,492.0
61.0,488.0,488.0,117.0,61.0,61.0,488.0
4.0,717.0,717.0,245.0,4.0,4.0,717.0
20.0,231.0,231.0,121.0,20.0,20.0,231.0
252.0,,,79.0,24.0,24.0,
117.0,398.0,398.0,29.0,117.0,29.0,398.0
27.0,358.0,358.0,93.0,25.0,25.0,358.0
11.0,301.0,301.0,259.0,11.0,11.0,301.0
8.0,,,18.0,8.0,8.0,
19.0,501.0,501.0,345.0,19.0,19.0,501.0
186.0,,,180.0,186.0,180.0,
50.0,116.0,116.0,116.0,50.0,50.0,116.0
20.0,453.0,453.0,82.0,9.0,9.0,453.0
52.0,760.0,760.0,304.0,52.0,52.0,760.0
388.0,,,131.0,261.0,131.0,
61.0,415.0,415.0,16.0,61.0,16.0,415.0
75.0,376.0,376.0,10.0,72.0,10.0,376.0
57.0,303.0,303.0,303.0,57.0,57.0,303.0
32.0,,,257.0,32.0,32.0,
43.0,3.0,3.0,3.0,43.0,3.0,43.0
76.0,412.0,412.0,66.0,76.0,66.0,412.0
