R0,R1,R2,R3,R4,R5,conjunction
16,2,2,17,18,34,55
14,2,2,22,18,40,58
8,6,6,25,17,42,59
17,5,5,18,21,38,60
7,1,1,9,12,21,33
8,7,7,22,12,34,47
7,1,1,16,13,29,42
19,3,3,12,26,38,65
8,1,1,11,18,29,47
19,2,2,11,32,43,76
10,2,2,9,16,25,42
12,5,5,18,19,37,56
18,6,6,15,23,37,62
14,1,1,6,18,24,43
9,3,3,15,14,29,43
6,2,2,6,7,13,22
9,3,3,12,20,31,53
14,3,3,11,22,33,55
10,4,4,23,16,39,55
13,1,1,5,16,21,38
7,3,3,11,14,25,39
14,6,6,18,17,35,52
6,1,1,13,8,21,29
14,4,4,18,24,42,67
10,4,4,15,14,29,43
14,1,1,7,23,30,54
7,2,2,17,18,35,54
8,3,3,13,13,26,39
11,1,1,6,21,27,48
8,4,4,19,11,30,41
