R0_first_eval,R1_first_eval,R2_first_eval,R3_first_eval,R4_first_eval,R5_first_eval,full_coverage_eval
8,617,617,43,8,8,617
57,481,481,202,52,52,481
38,301,301,90,38,38,301
33,319,319,68,33,33,319
39,793,793,27,33,27,793
52,351,351,104,52,52,351
65,841,841,324,65,65,841
48,617,617,76,22,22,617
7,769,769,308,7,7,769
35,714,714,309,35,35,714
81,397,397,171,28,28,397
23,341,341,123,23,23,341
31,359,359,230,31,31,359
82,775,775,65,82,65,775
45,353,353,61,45,45,353
47,65,65,24,47,24,65
99,307,307,103,99,99,307
146,552,552,82,146,82,552
77,369,369,50,77,50,369
55,27,27,27,55,27,55
23,417,417,3,23,3,417
17,71,71,2,17,2,71
186,639,639,35,186,35,639
65,351,351,107,5,5,351
19,175,175,44,19,19,175
45,414,414,324,30,30,414
287,333,333,216,79,79,333
185,307,307,242,185,185,307
37,824,824,327,13,13,824
18,527,527,6,18,6,527
