R0_first_eval,R1_first_eval,R2_first_eval,R3_first_eval,R4_first_eval,R5_first_eval,full_coverage_eval
,995.0,995.0,,,,
91.0,,91.0,,,,
,860.0,860.0,,,,
,1112.0,1112.0,1112.0,,,
200.0,560.0,200.0,,,,
245.0,,245.0,993.0,,,
308.0,1019.0,308.0,,,,
,645.0,645.0,,,,
5.0,710.0,5.0,,,,
,,,,,,
1018.0,707.0,707.0,,,,
,,,,,,
1003.0,1126.0,1003.0,,,,
552.0,323.0,323.0,,,,
637.0,370.0,370.0,,,,
,,,,,,
155.0,409.0,155.0,434.0,,,
,817.0,817.0,,,,
,,,,,,
405.0,,405.0,,,,
409.0,987.0,409.0,,,,
1118.0,,1118.0,,,,
413.0,840.0,413.0,,,,
145.0,,145.0,,,,
697.0,,697.0,,,,
611.0,,611.0,,,,
,,,,,,
413.0,373.0,373.0,,,,
,,,,,,
704.0,,704.0,,,,
