R0_first_eval,R1_first_eval,R2_first_eval,R3_first_eval,R4_first_eval,R5_first_eval,full_coverage_eval
,,,,,,
,,,,,,
104.0,639.0,104.0,,,,
76.0,538.0,76.0,,,,
70.0,,70.0,,,,
53.0,,53.0,,,,
434.0,,434.0,,,,
144.0,246.0,144.0,,,,
258.0,,258.0,,,,
,,,,,,
695.0,,695.0,,,,
343.0,,343.0,,,,
27.0,,27.0,,,,
319.0,,319.0,,,,
368.0,,368.0,,,,
586.0,,586.0,,,,
87.0,,87.0,440.0,,,
62.0,,62.0,,,,
109.0,,109.0,502.0,,,
293.0,,293.0,,,,
,,,,,,
172.0,,172.0,,,,
38.0,,38.0,,,,
524.0,,524.0,,,,
279.0,,279.0,,,,
58.0,,58.0,,,,
71.0,,71.0,368.0,,,
434.0,,434.0,,,,
,,,,,,
161.0,,161.0,,,,
