R0_first_eval,R1_first_eval,R2_first_eval,R3_first_eval,R4_first_eval,R5_first_eval,full_coverage_eval
391.0,335.0,335.0,335.0,,,
693.0,384.0,384.0,384.0,,,
355.0,86.0,86.0,,,,
383.0,,383.0,,,,
372.0,379.0,372.0,,,,
378.0,322.0,322.0,,,,
311.0,,311.0,,,,
433.0,391.0,391.0,,,,
581.0,581.0,581.0,581.0,,,
352.0,,352.0,,,,
637.0,492.0,492.0,492.0,,,
572.0,543.0,543.0,,,,
401.0,322.0,322.0,,,,
330.0,405.0,330.0,674.0,,,
450.0,710.0,450.0,,,,
564.0,430.0,430.0,,,,
,886.0,886.0,,,,
572.0,511.0,511.0,,,,
307.0,436.0,307.0,833.0,,,
,410.0,410.0,,,,
612.0,527.0,527.0,,,,
594.0,531.0,531.0,,,,
792.0,662.0,662.0,662.0,,,
713.0,608.0,608.0,,,,
837.0,416.0,416.0,,,,
856.0,716.0,716.0,,,,
331.0,379.0,331.0,,,,
420.0,,420.0,,,,
614.0,815.0,614.0,,,,
704.0,318.0,318.0,,,,
