elapsed_s,eval_count,violations,objectives_covered,efficiency
2312.205180644989,900.0,3.0,1.0,0.0033333333333333335
2351.216919898987,900.0,5.0,3.0,0.005555555555555556
2475.4161899089813,900.0,7.0,3.0,0.0077777777777777776
2456.7378828525543,900.0,4.0,3.0,0.0044444444444444444
2401.874922275543,900.0,6.0,3.0,0.006666666666666667
2388.531120300293,900.0,7.0,3.0,0.0077777777777777776
2360.207533121109,900.0,6.0,3.0,0.006666666666666667
2582.3050758838654,900.0,11.0,3.0,0.012222222222222223
2716.8460087776184,900.0,11.0,3.0,0.012222222222222223
2068.7909047603607,900.0,2.0,1.0,0.0022222222222222222
2717.3562393188477,900.0,10.0,3.0,0.011111111111111112
2579.1907143592834,900.0,5.0,3.0,0.005555555555555556
2664.3591248989105,900.0,15.0,3.0,0.016666666666666666
2110.3464856147766,900.0,2.0,1.0,0.0022222222222222222
2270.114897966385,900.0,7.0,3.0,0.0077777777777777776
2733.9087975025177,900.0,9.0,3.0,0.01
2433.9054844379425,900.0,17.0,3.0,0.01888888888888889
2391.8248760700226,900.0,4.0,1.0,0.0044444444444444444
2462.7946560382843,900.0,16.0,3.0,0.017777777777777778
2270.443996191025,900.0,13.0,3.0,0.014444444444444444
2523.802593946457,900.0,3.0,3.0,0.0033333333333333335
2411.460943698883,900.0,7.0,3.0,0.0077777777777777776
2474.2067172527313,900.0,5.0,3.0,0.005555555555555556
2899.6238052845,900.0,10.0,3.0,0.011111111111111112
2371.929280281067,900.0,6.0,3.0,0.006666666666666667
2524.0384843349457,900.0,7.0,3.0,0.0077777777777777776
2443.69220495224,900.0,5.0,3.0,0.005555555555555556
2340.046024799347,900.0,2.0,1.0,0.0022222222222222222
2568.092216014862,900.0,4.0,3.0,0.0044444444444444444
2276.238340139389,900.0,7.0,3.0,0.0077777777777777776
