R0_first_eval,R1_first_eval,R2_first_eval,R3_first_eval,R4_first_eval,R5_first_eval,full_coverage_eval
764.0,,764.0,,,,
652.0,383.0,383.0,,,,
332.0,371.0,332.0,371.0,,,
631.0,639.0,631.0,,,,
590.0,503.0,503.0,,,,
400.0,683.0,400.0,,,,
647.0,442.0,442.0,,,,
523.0,416.0,416.0,416.0,,,
326.0,413.0,326.0,,,,
342.0,,342.0,,,,
384.0,550.0,384.0,384.0,,,
468.0,334.0,334.0,,,,
486.0,371.0,371.0,,,,
676.0,,676.0,,,,
413.0,690.0,413.0,690.0,,,
396.0,92.0,92.0,,,,
379.0,343.0,343.0,476.0,,,
522.0,,522.0,568.0,,,
413.0,520.0,413.0,,,,
342.0,636.0,342.0,,,,
617.0,611.0,611.0,,,,
592.0,626.0,592.0,,,,
770.0,417.0,417.0,,,,
353.0,416.0,353.0,,,,
685.0,673.0,673.0,,,,
607.0,364.0,364.0,,,,
611.0,745.0,611.0,,,,
413.0,,413.0,,,,
337.0,887.0,337.0,,,,
563.0,530.0,530.0,,,,
