benchmark,algorithm,n_runs,mean_failures_per_run,mean_param_apd,std_param_apd,mean_hamming_apd,std_hamming_apd,mean_severity_apd
ADAS1,PF,30,34.8,0.8026,0.1298,0.009,0.0237,0.3785
ADAS1,RS,30,5.1,0.979,0.2159,0.0179,0.067,
ADAS1,FF,30,20.1,0.904,0.1279,0.0179,0.0502,
ADAS1,MERLOT,30,13.93,0.9208,0.2612,0.1989,0.1988,
ADAS1,SAMOTA,30,11.63,1.2004,0.0994,0.3398,0.154,
ADAS1,SAMOTA_SW,30,12.5,1.2095,0.0861,0.3372,0.1255,
ADAS2,PF,30,53.0,0.7985,0.0923,0.1467,0.0417,0.4347
ADAS2,RS,30,10.53,1.1086,0.0694,0.1968,0.0575,
ADAS2,FF,30,18.5,0.986,0.0939,0.196,0.0572,
ADAS2,MERLOT,30,29.37,1.0091,0.1687,0.2242,0.089,
ADAS2,SAMOTA,30,27.83,1.1826,0.0795,0.275,0.0406,
ADAS2,SAMOTA_SW,30,29.9,1.223,0.0649,0.2841,0.026,
RR,PF,30,8.4,0.5475,0.1732,0.0501,0.0666,0.5425
RR,RS,30,0.0,0.0,0.0,0.0,0.0,
RR,FF,30,2.33,0.6336,0.5003,0.0919,0.1171,
RR,MERLOT,30,2.87,0.6796,0.5826,0.0077,0.0205,
RR,SAMOTA,30,5.1,1.1569,0.3958,0.1559,0.1077,
RR,SAMOTA_SW,30,4.9,1.3009,0.373,0.177,0.0994,
