PF,RS,FF,MERLOT,SAMOTA,SAMOTA_SW
92,31,22,75,56,89
140,18,35,48,40,98
216,23,88,70,86,104
199,24,63,192,98,104
175,27,52,214,76,51
146,15,40,48,52,90
98,23,69,41,80,67
101,22,36,100,86,101
167,23,17,108,82,68
221,35,15,72,71,109
129,30,41,107,91,64
159,20,23,53,66,96
133,15,62,46,77,105
86,25,34,121,71,64
108,16,87,85,78,73
161,21,61,142,87,36
143,36,4,79,98,78
107,18,41,75,79,86
119,25,49,40,68,96
112,23,15,113,65,57
189,30,24,43,103,63
96,36,33,72,90,96
135,22,68,94,70,50
170,21,22,28,46,106
105,16,14,170,104,76
104,36,49,23,86,76
106,41,68,60,29,81
163,21,47,28,68,66
164,21,51,28,63,67
126,39,104,71,72,76
