R0_first_eval,R1_first_eval,R2_first_eval,full_coverage_eval
57.0,88.0,88.0,88.0
49.0,98.0,98.0,98.0
216.0,140.0,140.0,216.0
71.0,,,
140.0,421.0,421.0,421.0
741.0,18.0,18.0,741.0
166.0,219.0,219.0,219.0
105.0,7.0,7.0,105.0
67.0,10.0,10.0,67.0
14.0,,,
520.0,,,
107.0,,,
134.0,144.0,144.0,144.0
21.0,473.0,473.0,473.0
155.0,173.0,173.0,173.0
61.0,79.0,79.0,79.0
228.0,,,
415.0,,,
452.0,,,
194.0,,,
60.0,,,
,159.0,159.0,
262.0,445.0,445.0,445.0
27.0,,,
127.0,463.0,463.0,463.0
116.0,,,
101.0,206.0,206.0,206.0
222.0,161.0,161.0,222.0
51.0,423.0,423.0,423.0
661.0,130.0,130.0,661.0
