car_speed,orientation,p_x,p_y,road_shape,weather
47.0707,13,7.8628,5.3796,1,2
49.3023,16,2.7199,8.7666,1,2
13.6609,-8,1.9057,0.1383,0,1
23.898,15,1.9218,5.697,2,0
31.4545,14,4.5931,2.413,2,2
20.4418,3,9.2214,2.5181,0,1
44.0261,26,8.3102,9.9312,0,1
24.7077,-23,6.8691,0.2417,1,1
20.7678,-8,6.968,6.635,2,0
31.2022,10,1.3075,8.111,0,0
10.8601,8,4.4759,0.3275,1,1
12.5856,-26,7.9414,4.2159,2,1
24.3715,-8,3.3707,3.8704,2,1
13.7787,25,5.9657,3.469,2,0
35.8768,0,6.1134,1.6803,1,0
43.7486,-26,6.3721,6.8064,1,1
29.6479,28,5.6588,7.8913,0,0
32.9523,7,8.1679,3.4464,2,1
33.4185,18,1.9613,7.9536,0,2
35.383,-7,1.1277,4.3958,0,0
12.6204,-16,3.9216,3.8719,0,1
13.8068,-7,5.3941,3.0983,0,0
32.016,30,2.9902,5.7548,0,2
31.9311,5,0.6097,6.9553,0,1
6.2705,-18,4.1905,2.4901,2,1
34.4578,28,8.7423,6.6095,1,0
23.5473,18,8.7525,8.0069,0,0
17.5921,-12,0.9629,3.1596,2,1
45.6252,21,7.2158,7.7134,2,0
42.046,4,6.7539,2.1696,0,2
14.8111,-5,4.4092,8.352,0,2
45.0771,14,9.9499,6.5622,0,1
29.9994,14,1.4724,5.3013,1,1
35.368,0,3.9164,4.2819,2,2
42.1034,-20,5.0945,3.7182,0,2
6.7052,20,6.4162,0.9847,2,2
32.3832,-26,8.7261,2.7209,2,1
25.3208,1,1.5152,6.5093,0,2
42.7573,-7,5.0933,6.3964,2,1
20.5713,-28,6.5377,0.2982,2,2
13.7996,23,2.4457,8.1583,1,1
46.5616,-29,4.9935,9.0924,2,1
7.4951,28,5.8678,7.3127,1,2
44.9247,-22,6.0146,3.8433,0,1
9.3478,18,5.9749,5.6661,1,0
30.0931,20,9.822,4.8954,0,0
48.473,16,7.5538,1.3544,0,0
27.7161,-25,4.5555,1.874,0,0
34.8615,-18,8.4115,0.8545,1,0
12.0391,8,4.0907,8.4981,0,0
31.9322,6,8.3739,6.5411,1,1
45.6325,25,2.8585,5.6998,0,1
26.7081,18,6.573,1.1649,0,0
29.5383,-28,8.5307,9.1763,2,1
10.1145,9,3.5878,8.3679,2,2
34.9923,21,5.5251,6.3639,2,2
46.9379,-9,8.2852,5.488,2,2
9.6124,17,7.3915,2.2741,0,1
33.6411,-18,3.0154,0.8225,0,2
28.639,-28,0.0263,0.0825,2,0
14.2541,-15,5.5197,8.3524,0,1
37.5054,5,2.8394,3.0036,1,2
12.9055,-17,2.3169,4.3013,2,0
40.9183,5,7.7809,0.0063,2,1
43.3026,23,4.37,0.1865,0,1
48.6406,9,8.517,7.0876,0,0
14.3687,-23,4.309,1.3094,2,0
31.8263,4,3.7418,4.3105,1,2
37.8839,5,6.2215,7.7904,1,0
16.5127,-4,2.9735,6.5661,2,0
