R0_first_eval,R1_first_eval,R2_first_eval,full_coverage_eval
264.0,745.0,745.0,745.0
15.0,432.0,432.0,432.0
80.0,253.0,253.0,253.0
135.0,353.0,353.0,353.0
177.0,623.0,623.0,623.0
52.0,165.0,165.0,165.0
323.0,217.0,217.0,323.0
72.0,376.0,376.0,376.0
34.0,,,
14.0,340.0,340.0,340.0
70.0,310.0,310.0,310.0
229.0,376.0,376.0,376.0
76.0,149.0,149.0,149.0
410.0,358.0,358.0,410.0
50.0,417.0,417.0,417.0
163.0,644.0,644.0,644.0
215.0,310.0,310.0,310.0
369.0,420.0,420.0,420.0
56.0,308.0,308.0,308.0
60.0,625.0,625.0,625.0
83.0,125.0,125.0,125.0
306.0,376.0,376.0,376.0
367.0,422.0,422.0,422.0
27.0,393.0,393.0,393.0
63.0,309.0,309.0,309.0
198.0,303.0,303.0,303.0
156.0,496.0,496.0,496.0
16.0,303.0,303.0,303.0
248.0,319.0,319.0,319.0
10.0,,,
