R0_first_eval,R1_first_eval,R2_first_eval,full_coverage_eval
102,406,406,406
132,312,312,312
85,303,303,303
29,395,395,395
57,433,433,433
182,501,501,501
22,321,321,321
133,480,480,480
14,497,497,497
58,321,321,321
18,493,493,493
61,319,319,319
115,584,584,584
217,313,313,313
81,376,376,376
30,301,301,301
144,306,306,306
39,34,34,39
68,75,75,75
29,79,79,79
113,366,366,366
87,601,601,601
93,306,306,306
95,381,381,381
106,320,320,320
129,358,358,358
50,331,331,331
305,108,108,305
23,367,367,367
301,317,317,317
