R0,R1,R2,R3,R4,R5,conjunction
5,0,0,2,11,13,13
11,0,0,3,16,19,19
20,0,0,3,25,28,28
6,0,0,8,12,20,20
20,0,0,6,31,37,37
8,0,0,3,15,18,18
10,0,0,0,18,18,18
4,0,0,4,7,11,11
1,2,2,6,1,7,7
1,0,0,2,1,3,3
6,0,0,3,9,12,12
5,0,0,5,12,17,17
19,0,0,3,23,26,26
9,0,0,1,14,15,15
17,0,0,1,32,33,33
6,0,0,3,11,14,14
1,1,1,4,3,7,7
5,0,0,4,7,11,11
15,0,0,1,21,22,22
2,0,0,2,3,5,5
1,0,0,1,2,3,3
5,0,0,1,7,8,8
16,2,2,3,23,26,26
6,0,0,1,7,8,8
5,0,0,0,7,7,7
7,0,0,6,12,18,18
13,0,0,2,18,20,20
17,0,0,10,23,33,33
6,0,0,4,11,15,15
19,0,0,7,31,37,37
