R0_first_eval,R1_first_eval,R2_first_eval,R3_first_eval,R4_first_eval,R5_first_eval,full_coverage_eval
418.0,,,262.0,418.0,262.0,
72.0,,,403.0,72.0,72.0,
244.0,,,284.0,244.0,244.0,
45.0,,,348.0,45.0,45.0,
245.0,,,476.0,76.0,76.0,
248.0,,,300.0,248.0,248.0,
243.0,,,,243.0,243.0,
448.0,,,398.0,85.0,85.0,
774.0,905.0,905.0,345.0,774.0,345.0,905.0
427.0,,,432.0,427.0,427.0,
298.0,,,308.0,298.0,298.0,
471.0,,,313.0,246.0,246.0,
246.0,,,421.0,246.0,246.0,
1.0,,,756.0,1.0,1.0,
216.0,,,721.0,109.0,109.0,
280.0,,,223.0,280.0,223.0,
864.0,995.0,995.0,140.0,698.0,140.0,995.0
39.0,,,326.0,39.0,39.0,
193.0,,,567.0,193.0,193.0,
168.0,,,741.0,155.0,155.0,
2.0,,,92.0,2.0,2.0,
78.0,,,91.0,78.0,78.0,
121.0,262.0,262.0,262.0,121.0,121.0,262.0
407.0,,,922.0,407.0,407.0,
421.0,,,138.0,421.0,138.0,
99.0,,,305.0,99.0,99.0,
208.0,,,857.0,208.0,208.0,
182.0,,,204.0,182.0,182.0,
67.0,,,400.0,67.0,67.0,
185.0,,,438.0,185.0,185.0,
