car_speed,orientation,p_x,p_y,road_shape,weather
19.57247441749231,-26.0,1.5084917392450192,4.009344730398538,0,2
19.57247441749231,-26.0,0.0,4.009344730398538,0,2
19.57247441749231,-30.0,0.0,4.009344730398538,0,2
19.57247441749231,-30.0,0.0,4.009344730398538,0,1
8.322474417492309,-30.0,0.0,4.009344730398538,0,1
19.57247441749231,-30.0,0.0,4.009344730398538,0,1
8.322474417492309,-30.0,0.0,4.009344730398538,0,1
8.322474417492309,-30.0,0.0,4.009344730398538,1,1
8.322474417492309,-30.0,0.0,4.009344730398538,1,2
8.322474417492309,-30.0,0.0,1.5093447303985377,1,2
5.0,-30.0,0.0,1.5093447303985377,1,2
5.0,-30.0,0.0,1.5093447303985377,1,1
16.25,-30.0,0.0,1.5093447303985377,1,1
16.25,-30.0,0.0,1.5093447303985377,2,1
16.25,-30.0,0.0,1.5093447303985377,2,0
16.25,-15.0,0.0,1.5093447303985377,2,0
16.25,-15.0,0.0,4.009344730398538,2,0
16.25,-15.0,0.0,4.009344730398538,1,0
16.25,-15.0,0.0,4.009344730398538,1,1
5.0,-15.0,0.0,4.009344730398538,1,1
5.0,-30.0,0.0,4.009344730398538,1,1
5.0,-30.0,0.0,4.009344730398538,1,0
5.0,-30.0,0.0,4.009344730398538,1,1
5.0,-30.0,0.0,4.009344730398538,2,1
5.0,-30.0,2.5,4.009344730398538,2,1
5.0,-30.0,2.5,4.009344730398538,2,0
16.25,-30.0,2.5,4.009344730398538,2,0
16.25,-30.0,2.5,4.009344730398538,2,1
16.25,-30.0,2.5,1.5093447303985377,2,1
16.25,-30.0,2.5,0.0,2,1
16.25,-30.0,2.5,0.0,2,0
16.25,-30.0,5.0,0.0,2,0
16.25,-30.0,5.0,0.0,2,1
5.0,-30.0,5.0,0.0,2,1
5.0,-15.0,5.0,0.0,2,1
5.0,-15.0,5.0,0.0,1,1
5.0,-30.0,5.0,0.0,1,1
5.0,-30.0,5.0,2.5,1,1
5.0,-30.0,2.5,2.5,1,1
16.25,-30.0,2.5,2.5,1,1
16.25,-30.0,5.0,2.5,1,1
16.25,-30.0,7.5,2.5,1,1
16.25,-30.0,7.5,2.5,2,1
16.25,-30.0,7.5,2.5,2,0
16.25,-30.0,7.5,2.5,2,1
16.25,-15.0,7.5,2.5,2,1
5.0,-15.0,7.5,2.5,2,1
16.25,-15.0,7.5,2.5,2,1
16.25,-30.0,7.5,2.5,2,1
16.25,-30.0,7.5,2.5,1,1
16.25,-30.0,7.5,2.5,2,1
16.25,-30.0,7.5,0.0,2,1
16.25,-30.0,5.0,0.0,2,1
5.0,-30.0,5.0,0.0,2,1
5.0,-30.0,5.0,0.0,2,2
5.0,-30.0,5.0,0.0,1,2
5.0,-30.0,5.0,0.0,0,2
5.0,-30.0,7.5,0.0,0,2
5.0,-30.0,7.5,0.0,0,1
16.25,-30.0,7.5,0.0,0,1
16.25,-15.0,7.5,0.0,0,1
27.5,-15.0,7.5,0.0,0,1
16.25,-15.0,7.5,0.0,0,1
16.25,-15.0,7.5,0.0,0,0
16.25,0.0,7.5,0.0,0,0
16.25,0.0,7.5,0.0,1,0
16.25,0.0,5.0,0.0,1,0
16.25,0.0,2.5,0.0,1,0
16.25,0.0,0.0,0.0,1,0
27.5,0.0,0.0,0.0,1,0
27.5,0.0,0.0,0.0,2,0
