R0,R1,R2,R3,R4,R5,conjunction
13,3,3,14,14,26,26
22,1,1,8,29,37,37
14,6,6,31,20,51,51
25,1,1,3,38,41,41
12,0,0,1,14,15,15
2,1,1,16,2,18,18
0,5,5,30,3,33,33
25,2,2,12,33,45,45
9,11,11,20,20,40,40
17,0,0,1,24,25,25
11,0,0,2,17,19,19
9,0,0,8,14,22,22
6,2,2,13,11,24,24
24,3,3,12,33,44,44
10,2,2,9,16,25,25
3,3,3,10,5,15,15
30,0,0,9,39,48,48
5,0,0,0,9,9,9
6,4,4,10,11,21,21
6,16,16,39,9,48,48
7,7,7,21,12,33,33
5,0,0,14,9,23,23
16,1,1,9,20,28,28
19,1,1,2,31,33,33
15,0,0,5,24,29,29
3,0,0,0,3,3,3
11,0,0,9,20,29,29
20,5,5,14,28,42,42
11,1,1,2,18,20,20
9,4,4,25,10,35,35
