R0_first_eval,R1_first_eval,R2_first_eval,R3_first_eval,R4_first_eval,R5_first_eval,full_coverage_eval
34.0,88.0,88.0,86.0,34.0,34.0,88.0
47.0,109.0,109.0,97.0,47.0,47.0,109.0
158.0,127.0,127.0,90.0,158.0,90.0,158.0
136.0,459.0,459.0,453.0,136.0,136.0,459.0
140.0,,,40.0,140.0,40.0,
112.0,13.0,13.0,13.0,112.0,13.0,112.0
,219.0,219.0,219.0,162.0,162.0,
123.0,11.0,11.0,6.0,123.0,6.0,123.0
55.0,10.0,10.0,10.0,55.0,10.0,55.0
57.0,,,586.0,44.0,44.0,
26.0,,,195.0,12.0,12.0,
461.0,,,517.0,461.0,461.0,
129.0,144.0,144.0,144.0,129.0,129.0,144.0
35.0,10.0,10.0,9.0,35.0,9.0,35.0
7.0,179.0,179.0,150.0,7.0,7.0,179.0
802.0,77.0,77.0,77.0,788.0,77.0,802.0
194.0,,,46.0,9.0,9.0,
662.0,,,,662.0,662.0,
557.0,381.0,381.0,53.0,557.0,53.0,557.0
317.0,50.0,50.0,6.0,106.0,6.0,317.0
233.0,481.0,481.0,471.0,66.0,66.0,481.0
827.0,,,101.0,826.0,101.0,
110.0,448.0,448.0,85.0,110.0,85.0,448.0
21.0,394.0,394.0,394.0,21.0,21.0,394.0
128.0,,,278.0,128.0,128.0,
215.0,,,,215.0,215.0,
119.0,,,48.0,109.0,48.0,
209.0,144.0,144.0,144.0,209.0,144.0,209.0
12.0,423.0,423.0,421.0,12.0,12.0,423.0
138.0,515.0,515.0,130.0,138.0,130.0,515.0
