R0,R1,R2,R3,R4,R5,conjunction
3,3,3,26,4,30,34
6,3,3,10,8,18,26
10,1,1,13,13,26,40
8,3,3,14,12,26,38
13,1,1,12,25,36,62
5,0,0,17,8,24,33
16,2,2,24,18,42,60
10,0,0,4,14,18,33
10,3,3,24,12,35,48
10,3,3,18,14,32,47
8,0,0,12,12,24,36
10,2,2,10,15,25,40
7,1,1,13,12,25,37
4,0,0,12,8,20,28
9,0,0,18,14,32,46
15,2,2,19,19,38,57
5,3,3,11,9,20,29
6,5,5,15,10,25,35
9,1,1,8,15,23,39
8,1,1,13,13,26,39
4,2,2,13,12,25,37
7,1,1,13,8,21,29
7,3,3,17,13,30,43
9,2,2,11,11,22,33
11,1,1,13,13,26,40
17,4,4,23,26,48,75
12,0,0,13,19,32,51
10,3,3,14,14,28,42
10,3,3,19,15,34,49
9,0,0,7,17,24,42
