R0_first_eval,R1_first_eval,R2_first_eval,R3_first_eval,R4_first_eval,R5_first_eval,full_coverage_eval
38.0,199.0,199.0,34.0,38.0,34.0,199.0
211.0,169.0,169.0,118.0,211.0,118.0,211.0
63.0,399.0,399.0,49.0,3.0,3.0,399.0
50.0,305.0,305.0,3.0,50.0,3.0,305.0
7.0,715.0,715.0,301.0,7.0,7.0,715.0
64.0,,,64.0,64.0,64.0,
16.0,35.0,35.0,18.0,16.0,16.0,35.0
56.0,,,72.0,56.0,56.0,
66.0,371.0,371.0,266.0,5.0,5.0,371.0
12.0,476.0,476.0,33.0,12.0,12.0,476.0
18.0,,,83.0,18.0,18.0,
84.0,326.0,326.0,227.0,41.0,41.0,326.0
46.0,706.0,706.0,135.0,46.0,46.0,706.0
59.0,,,310.0,59.0,59.0,
4.0,,,45.0,4.0,4.0,
17.0,317.0,317.0,48.0,17.0,17.0,317.0
204.0,680.0,680.0,20.0,103.0,20.0,680.0
115.0,307.0,307.0,119.0,115.0,115.0,307.0
50.0,301.0,301.0,23.0,50.0,23.0,301.0
23.0,307.0,307.0,129.0,23.0,23.0,307.0
336.0,647.0,647.0,216.0,32.0,32.0,647.0
28.0,427.0,427.0,91.0,28.0,28.0,427.0
161.0,490.0,490.0,12.0,60.0,12.0,490.0
15.0,429.0,429.0,11.0,15.0,11.0,429.0
66.0,344.0,344.0,46.0,66.0,46.0,344.0
41.0,301.0,301.0,298.0,41.0,41.0,301.0
118.0,,,305.0,69.0,69.0,
102.0,67.0,67.0,67.0,102.0,67.0,102.0
71.0,417.0,417.0,83.0,55.0,55.0,417.0
51.0,,,45.0,1.0,1.0,
