R0,R1,R2,R3,R4,R5,conjunction
6,2,2,7,9,16,26
8,1,1,16,13,28,42
10,2,2,15,17,32,49
8,1,1,14,14,28,42
4,1,1,5,6,11,18
9,3,3,19,13,32,45
12,1,1,16,16,32,49
7,1,1,15,12,27,39
8,2,2,21,13,34,47
10,2,2,13,15,28,43
13,1,1,16,15,31,47
7,5,5,21,10,31,41
8,0,0,8,13,20,34
9,4,4,15,16,30,47
9,4,4,24,15,39,54
7,1,1,14,11,25,36
7,4,4,13,10,23,33
14,0,0,12,20,32,52
10,5,5,25,15,40,55
19,2,2,10,30,40,70
8,1,1,9,16,25,42
10,4,4,20,12,32,44
10,1,1,7,18,25,44
8,4,4,21,12,32,45
14,5,5,12,27,39,66
13,2,2,19,14,33,47
15,2,2,16,24,40,65
8,1,1,9,15,23,39
18,3,3,10,27,36,65
10,2,2,15,18,33,51
