R0_first_eval,R1_first_eval,R2_first_eval,R3_first_eval,R4_first_eval,R5_first_eval,full_coverage_eval
126.0,426.0,426.0,32.0,56.0,32.0,426.0
25.0,313.0,313.0,43.0,25.0,25.0,313.0
20.0,694.0,694.0,112.0,20.0,20.0,694.0
134.0,360.0,360.0,306.0,58.0,58.0,360.0
4.0,580.0,580.0,155.0,4.0,4.0,580.0
77.0,120.0,120.0,120.0,77.0,77.0,120.0
232.0,322.0,322.0,43.0,73.0,43.0,322.0
83.0,307.0,307.0,307.0,42.0,42.0,307.0
11.0,303.0,303.0,303.0,11.0,11.0,303.0
139.0,667.0,667.0,112.0,139.0,112.0,667.0
66.0,829.0,829.0,52.0,66.0,52.0,829.0
22.0,419.0,419.0,18.0,22.0,18.0,419.0
159.0,,,16.0,97.0,16.0,
211.0,416.0,416.0,119.0,1.0,1.0,416.0
250.0,65.0,65.0,65.0,224.0,65.0,250.0
271.0,728.0,728.0,112.0,188.0,112.0,728.0
250.0,301.0,301.0,152.0,98.0,98.0,301.0
33.0,,,309.0,33.0,33.0,
70.0,376.0,376.0,303.0,70.0,70.0,376.0
82.0,564.0,564.0,164.0,82.0,82.0,564.0
5.0,545.0,545.0,71.0,5.0,5.0,545.0
37.0,311.0,311.0,3.0,37.0,3.0,311.0
38.0,373.0,373.0,41.0,38.0,38.0,373.0
96.0,606.0,606.0,121.0,51.0,51.0,606.0
50.0,408.0,408.0,51.0,50.0,50.0,408.0
19.0,313.0,313.0,178.0,19.0,19.0,313.0
149.0,368.0,368.0,309.0,149.0,149.0,368.0
188.0,765.0,765.0,121.0,9.0,9.0,765.0
16.0,484.0,484.0,89.0,16.0,16.0,484.0
17.0,443.0,443.0,61.0,17.0,17.0,443.0
