R0_first_eval,R1_first_eval,R2_first_eval,R3_first_eval,R4_first_eval,R5_first_eval,full_coverage_eval
216.0,,216.0,,,,
363.0,404.0,363.0,,,,
,,,,,,
266.0,,266.0,,,,
566.0,,566.0,,,,
365.0,635.0,365.0,,,,
608.0,346.0,346.0,,,,
,185.0,185.0,,,,
93.0,,93.0,,,,
,,,,,,
694.0,745.0,694.0,,,,
920.0,237.0,237.0,,,,
,412.0,412.0,,,,
411.0,,411.0,411.0,,,
375.0,,375.0,,,,
,,,,,,
678.0,844.0,678.0,,,,
,,,,,,
,310.0,310.0,,,,
466.0,419.0,419.0,,,,
,1076.0,1076.0,,,,
843.0,,843.0,,,,
318.0,1018.0,318.0,,,,
194.0,369.0,194.0,369.0,,,
542.0,353.0,353.0,353.0,,,
559.0,1127.0,559.0,,,,
34.0,562.0,34.0,,,,
410.0,,410.0,,,,
,,,,,,
,109.0,109.0,,,,
