bandwidth,cruise_speed,firm_obstacle,illuminance,obstacle_distance,obstacle_size,power,quality,smoke_intensity
29.302466982034233,0.16292532641027313,0,24763.54392745463,6.534725339011757,98.83066470401346,0,0,1
29.302466982034233,5.0,0,24763.54392745463,6.534725339011757,98.83066470401346,0,0,1
29.302466982034233,5.0,0,24763.54392745463,6.534725339011757,98.83066470401346,100,0,1
29.302466982034233,5.0,0,24763.54392745463,6.534725339011757,120.0,100,0,1
29.302466982034233,5.0,0,24763.54392745463,6.534725339011757,120.0,100,1,1
29.302466982034233,5.0,0,40.0,6.534725339011757,120.0,100,1,1
29.302466982034233,5.0,0,40.0,10.0,120.0,100,1,1
28.302466982034233,5.0,0,40.0,10.0,120.0,100,1,1
28.302466982034233,5.0,0,120000.0,10.0,120.0,100,1,1
27.302466982034233,5.0,0,120000.0,10.0,120.0,100,1,1
27.302466982034233,5.0,0,120000.0,10.0,120.0,100,1,0
27.302466982034233,5.0,0,120000.0,10.0,120.0,100,0,0
27.302466982034233,5.0,0,120000.0,10.0,120.0,100,0,1
27.302466982034233,5.0,0,40.0,10.0,120.0,100,0,1
26.302466982034233,5.0,0,40.0,10.0,120.0,100,0,1
26.302466982034233,5.0,0,40.0,10.0,120.0,0,0,1
26.302466982034233,5.0,0,40.0,0.0,120.0,0,0,1
26.302466982034233,0.0,0,40.0,0.0,120.0,0,0,1
26.302466982034233,0.0,0,120000.0,0.0,120.0,0,0,1
26.302466982034233,5.0,0,120000.0,0.0,120.0,0,0,1
26.302466982034233,5.0,0,120000.0,0.0,120.0,0,0,0
26.302466982034233,5.0,0,40.0,0.0,120.0,0,0,0
26.302466982034233,5.0,0,40.0,0.0,0.0,0,0,0
50.0,5.0,0,40.0,0.0,0.0,0,0,0
50.0,0.0,0,40.0,0.0,0.0,0,0,0
49.0,0.0,0,40.0,0.0,0.0,0,0,0
50.0,0.0,0,40.0,0.0,0.0,0,0,0
50.0,0.0,0,40.0,0.0,0.0,0,0,1
50.0,0.0,0,40.0,10.0,0.0,0,0,1
50.0,0.0,0,40.0,10.0,0.0,0,0,2
50.0,0.0,0,40.0,0.0,0.0,0,0,2
50.0,0.0,0,40.0,0.0,120.0,0,0,2
50.0,0.0,0,40.0,0.0,120.0,0,1,2
50.0,0.0,0,40.0,10.0,120.0,0,1,2
50.0,5.0,0,40.0,10.0,120.0,0,1,2
50.0,5.0,0,40.0,10.0,120.0,0,1,1
50.0,5.0,0,40.0,0.0,120.0,0,1,1
50.0,5.0,0,40.0,0.0,120.0,0,1,0
50.0,5.0,0,40.0,0.0,0.0,0,1,0
50.0,5.0,0,40.0,0.0,0.0,100,1,0
50.0,5.0,0,40.0,10.0,0.0,100,1,0
50.0,0.0,0,40.0,10.0,0.0,100,1,0
50.0,0.0,0,40.0,10.0,120.0,100,1,0
49.0,0.0,0,40.0,10.0,120.0,100,1,0
48.0,0.0,0,40.0,10.0,120.0,100,1,0
47.0,0.0,0,40.0,10.0,120.0,100,1,0
47.0,0.0,0,120000.0,10.0,120.0,100,1,0
47.0,0.0,0,120000.0,10.0,0.0,100,1,0
47.0,0.0,0,120000.0,10.0,0.0,100,0,0
47.0,0.0,1,120000.0,10.0,0.0,100,0,0
47.0,0.0,1,120000.0,10.0,0.0,0,0,0
47.0,0.0,1,120000.0,10.0,0.0,0,0,1
47.0,0.0,1,120000.0,10.0,0.0,0,1,1
47.0,0.0,1,120000.0,10.0,120.0,0,1,1
47.0,0.0,1,120000.0,10.0,120.0,0,2,1
50.0,0.0,1,120000.0,10.0,120.0,0,2,1
50.0,0.0,1,120000.0,10.0,120.0,0,1,1
50.0,5.0,1,120000.0,10.0,120.0,0,1,1
50.0,5.0,1,120000.0,10.0,120.0,0,2,1
50.0,5.0,1,120000.0,10.0,0.0,0,2,1
50.0,5.0,1,120000.0,10.0,0.0,0,2,0
50.0,5.0,1,120000.0,10.0,0.0,0,1,0
50.0,0.0,1,120000.0,10.0,0.0,0,1,0
50.0,0.0,1,120000.0,10.0,0.0,0,2,0
50.0,0.0,1,120000.0,10.0,120.0,0,2,0
50.0,5.0,1,120000.0,10.0,120.0,0,2,0
50.0,5.0,1,120000.0,10.0,120.0,100,2,0
50.0,5.0,1,120000.0,0.0,120.0,100,2,0
50.0,5.0,1,40.0,0.0,120.0,100,2,0
50.0,5.0,0,40.0,0.0,120.0,100,2,0
50.0,5.0,0,40.0,0.0,0.0,100,2,0
50.0,5.0,0,40.0,0.0,0.0,100,2,1
50.0,5.0,0,40.0,0.0,120.0,100,2,1
50.0,5.0,0,40.0,0.0,0.0,100,2,1
50.0,5.0,0,40.0,0.0,120.0,100,2,1
50.0,5.0,0,40.0,0.0,0.0,100,2,1
50.0,5.0,1,40.0,0.0,0.0,100,2,1
50.0,5.0,1,40.0,0.0,0.0,0,2,1
50.0,0.0,1,40.0,0.0,0.0,0,2,1
50.0,0.0,1,40.0,0.0,0.0,0,2,2
50.0,0.0,1,40.0,0.0,0.0,0,1,2
50.0,0.0,1,40.0,10.0,0.0,0,1,2
50.0,0.0,1,40.0,10.0,0.0,0,2,2
50.0,0.0,1,40.0,10.0,120.0,0,2,2
50.0,0.0,1,40.0,0.0,120.0,0,2,2
50.0,0.0,1,40.0,0.0,120.0,100,2,2
50.0,0.0,1,40.0,0.0,120.0,100,1,2
50.0,0.0,1,120000.0,0.0,120.0,100,1,2
50.0,0.0,1,120000.0,0.0,120.0,0,1,2
50.0,0.0,1,120000.0,0.0,120.0,0,1,1
49.0,0.0,1,120000.0,0.0,120.0,0,1,1
50.0,0.0,1,120000.0,0.0,120.0,0,1,1
49.0,0.0,1,120000.0,0.0,120.0,0,1,1
49.0,0.0,1,40.0,0.0,120.0,0,1,1
49.0,0.0,1,40.0,0.0,120.0,100,1,1
49.0,0.0,0,40.0,0.0,120.0,100,1,1
49.0,0.0,1,40.0,0.0,120.0,100,1,1
50.0,0.0,1,40.0,0.0,120.0,100,1,1
50.0,0.0,0,40.0,0.0,120.0,100,1,1
50.0,0.0,0,40.0,0.0,120.0,100,1,0
50.0,0.0,0,40.0,0.0,120.0,100,1,1
50.0,0.0,1,40.0,0.0,120.0,100,1,1
50.0,0.0,1,40.0,10.0,120.0,100,1,1
50.0,0.0,1,40.0,10.0,0.0,100,1,1
50.0,0.0,1,40.0,0.0,0.0,100,1,1
50.0,0.0,1,40.0,0.0,0.0,100,2,1
50.0,5.0,1,40.0,0.0,0.0,100,2,1
49.0,5.0,1,40.0,0.0,0.0,100,2,1
49.0,5.0,1,40.0,0.0,0.0,0,2,1
49.0,0.0,1,40.0,0.0,0.0,0,2,1
49.0,0.0,1,40.0,0.0,0.0,0,2,0
49.0,0.0,1,40.0,0.0,120.0,0,2,0
49.0,0.0,1,40.0,0.0,120.0,100,2,0
49.0,0.0,0,40.0,0.0,120.0,100,2,0
49.0,0.0,0,40.0,10.0,120.0,100,2,0
49.0,5.0,0,40.0,10.0,120.0,100,2,0
48.0,5.0,0,40.0,10.0,120.0,100,2,0
47.0,5.0,0,40.0,10.0,120.0,100,2,0
46.0,5.0,0,40.0,10.0,120.0,100,2,0
45.0,5.0,0,40.0,10.0,120.0,100,2,0
45.0,5.0,0,40.0,0.0,120.0,100,2,0
45.0,5.0,0,40.0,0.0,0.0,100,2,0
45.0,5.0,0,40.0,0.0,0.0,100,2,1
45.0,5.0,0,40.0,0.0,120.0,100,2,1
45.0,5.0,0,40.0,10.0,120.0,100,2,1
45.0,0.0,0,40.0,10.0,120.0,100,2,1
45.0,0.0,0,40.0,0.0,120.0,100,2,1
45.0,0.0,0,40.0,0.0,120.0,0,2,1
45.0,0.0,0,40.0,0.0,120.0,100,2,1
45.0,0.0,0,40.0,0.0,120.0,0,2,1
45.0,0.0,0,40.0,0.0,120.0,100,2,1
50.0,0.0,0,40.0,0.0,120.0,100,2,1
50.0,0.0,0,40.0,0.0,120.0,0,2,1
50.0,0.0,0,40.0,0.0,120.0,100,2,1
50.0,0.0,0,40.0,0.0,120.0,0,2,1
50.0,0.0,0,40.0,0.0,120.0,100,2,1
49.0,0.0,0,40.0,0.0,120.0,100,2,1
49.0,0.0,0,40.0,0.0,120.0,0,2,1
49.0,0.0,0,40.0,0.0,120.0,100,2,1
49.0,0.0,0,40.0,0.0,120.0,0,2,1
49.0,0.0,0,40.0,0.0,120.0,100,2,1
49.0,0.0,0,40.0,0.0,0.0,100,2,1
49.0,0.0,0,40.0,10.0,0.0,100,2,1
50.0,0.0,0,40.0,10.0,0.0,100,2,1
50.0,0.0,0,40.0,10.0,120.0,100,2,1
50.0,5.0,0,40.0,10.0,120.0,100,2,1
49.0,5.0,0,40.0,10.0,120.0,100,2,1
48.0,5.0,0,40.0,10.0,120.0,100,2,1
48.0,5.0,0,40.0,10.0,120.0,100,1,1
48.0,5.0,0,40.0,10.0,120.0,100,1,0
48.0,5.0,0,40.0,10.0,120.0,100,0,0
48.0,5.0,0,40.0,10.0,120.0,100,1,0
48.0,5.0,0,40.0,10.0,120.0,100,0,0
48.0,5.0,0,40.0,10.0,120.0,100,1,0
48.0,5.0,0,40.0,10.0,120.0,100,0,0
48.0,5.0,0,40.0,10.0,120.0,0,0,0
48.0,5.0,0,40.0,10.0,120.0,0,0,1
48.0,5.0,0,120000.0,10.0,120.0,0,0,1
48.0,5.0,0,120000.0,10.0,120.0,0,0,0
50.0,5.0,0,120000.0,10.0,120.0,0,0,0
50.0,5.0,0,120000.0,10.0,120.0,100,0,0
50.0,5.0,0,120000.0,0.0,120.0,100,0,0
