R0_first_eval,R1_first_eval,R2_first_eval,R3_first_eval,R4_first_eval,R5_first_eval,full_coverage_eval
338.0,,338.0,,,,
,371.0,371.0,,,,
103.0,,103.0,,,,
33.0,,33.0,,,,
333.0,,333.0,,,,
53.0,,53.0,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
129.0,,129.0,,,,
13.0,,13.0,,,,
138.0,,138.0,,,,
,,,,,,
427.0,,427.0,480.0,,,
254.0,,254.0,,,,
67.0,,67.0,308.0,,,
831.0,,831.0,,,,
860.0,,860.0,,,,
27.0,,27.0,,,,
28.0,,28.0,,,,
1.0,,1.0,,,,
47.0,,47.0,878.0,,,
76.0,,76.0,,,,
176.0,,176.0,,,,
296.0,,296.0,,,,
69.0,,69.0,,,,
723.0,,723.0,823.0,,,
,,,,,,
,,,,,,
