bandwidth,cruise_speed,firm_obstacle,illuminance,obstacle_distance,obstacle_size,power,quality,smoke_intensity
16.9758,2.0956,0,55455.1423,8.5154,19.1143,28,0,2
39.4364,1.3371,0,31249.6907,0.7833,64.9683,98,1,2
49.1332,4.2242,1,35501.6034,7.4496,9.3041,66,2,0
20.1849,0.0962,0,16986.3756,2.4079,92.6196,60,1,0
31.4924,2.5827,0,69484.3448,6.6773,24.4727,43,2,2
42.4182,2.2009,0,70315.7494,7.3006,115.7314,41,2,1
22.8076,1.0721,0,10187.5634,8.6858,23.528,82,0,2
30.6439,1.3858,0,52589.1398,9.3267,107.9117,65,1,1
25.9626,2.6725,0,94241.0539,3.3489,56.3123,95,1,1
36.0061,3.5323,1,99955.1559,5.7623,87.6464,10,0,1
44.3196,0.2848,0,74416.5406,0.009,63.7871,42,2,0
31.5505,0.3887,1,56489.6132,4.4841,90.1966,67,0,1
13.6341,0.7409,1,50277.6475,2.8351,102.5743,12,1,1
38.1477,0.2803,1,34334.1345,4.17,17.8426,51,1,0
18.9167,0.3706,1,100438.2655,5.5248,83.4831,87,2,1
42.7598,1.398,0,13034.725,5.314,53.9554,38,2,1
21.5203,0.3185,1,47.8774,6.5421,87.4517,42,1,1
46.0023,1.2766,0,47171.3489,0.67,67.3096,48,0,0
29.8083,4.7096,0,49115.3452,7.3634,111.3723,95,0,0
32.0766,0.8504,0,28397.347,5.6419,106.4371,39,1,0
12.8629,4.058,0,43287.5218,8.6704,64.7686,47,2,0
43.9649,2.4667,1,55778.6295,3.4969,68.225,92,1,2
46.7532,3.0981,0,9471.2488,5.4202,64.0639,0,0,1
26.0572,4.9726,0,13411.6287,9.7894,78.044,14,1,2
44.7703,3.5649,0,70835.2158,1.5849,86.6904,34,1,1
21.2467,3.2424,1,84698.6081,3.5907,72.9261,10,1,2
40.5037,0.4268,1,112782.9827,4.5251,86.4187,38,2,2
23.7889,3.3412,0,14530.8967,7.6295,16.6732,67,0,2
40.0698,2.5888,1,83422.5041,9.5318,63.5738,54,1,2
40.8096,0.5649,0,57796.2986,1.4391,63.7238,74,2,2
12.0051,1.9286,1,43377.4978,6.2301,57.3628,97,1,2
27.9014,2.5206,0,14975.6914,1.4825,60.7894,37,1,2
32.9856,2.429,0,114189.6475,8.0861,92.2032,2,0,1
14.7913,3.9167,0,99667.308,6.8185,97.0269,17,0,0
48.9962,0.0376,0,96533.0003,3.595,79.1957,45,0,0
16.3915,1.1633,1,94580.2418,7.9649,71.64,39,0,2
29.8983,4.1168,0,103188.3186,5.8986,43.4212,19,1,2
10.0985,4.967,0,30518.6492,2.1905,105.5604,36,1,0
22.4402,1.3532,1,26537.6689,6.4991,78.3704,83,1,1
49.404,3.5797,1,69461.6382,4.7725,20.4425,71,2,0
35.4966,4.1928,1,55150.7414,1.0146,101.2809,18,1,2
14.9128,1.3519,1,89755.3382,9.4774,38.0567,55,1,0
48.804,4.4595,1,107535.116,5.1902,61.3138,32,0,0
27.0501,1.3565,0,68204.1989,5.5003,109.8198,16,0,2
31.5304,1.5634,1,98643.9757,2.7555,98.9286,33,1,0
24.9467,4.692,0,112291.0286,4.1708,117.908,67,0,0
18.1368,3.9501,1,108374.3173,4.4643,97.4593,24,0,0
19.6363,3.9789,0,51982.8422,9.613,22.62,48,2,1
33.3623,0.3923,1,68467.7845,3.5662,112.4853,3,1,2
48.6483,2.5431,0,44652.4646,8.9434,49.723,67,2,1
28.1998,0.3601,0,16557.8476,4.9737,17.9513,10,0,0
36.1745,1.7839,0,83401.6102,9.7062,92.8288,79,1,0
27.1309,2.8345,0,25168.5341,2.6827,93.8977,49,0,2
20.0497,3.4339,0,50277.7785,0.5947,66.0526,20,1,2
24.0464,0.6084,1,50049.8562,5.1511,11.5247,45,1,2
46.6612,2.386,0,93405.2555,7.4206,29.2933,44,1,1
24.244,2.0298,0,62188.6984,3.2461,37.5098,71,2,2
28.0611,4.7886,0,64668.8659,1.5396,98.8753,62,0,1
40.3346,4.0884,1,24854.744,0.3394,12.7662,38,0,0
30.3301,0.5336,1,66200.4146,1.9451,108.8919,4,2,1
45.9462,3.2932,1,62133.6043,3.3515,96.859,48,1,0
32.9155,3.6119,1,73070.6352,0.0944,54.7867,57,2,1
32.5914,0.6984,0,77171.0176,3.7828,95.4094,33,0,0
44.7867,2.7753,1,43226.295,6.3805,86.8761,97,0,0
45.1584,4.5849,1,33237.0543,9.7044,5.356,69,1,0
46.8265,0.9902,0,109251.5046,5.4309,94.0374,10,0,1
11.9485,0.9117,1,11620.1976,8.1655,112.0249,46,1,1
28.6483,4.4977,1,106289.6075,3.8874,61.2223,91,2,1
18.3195,4.9586,1,94727.538,7.3131,88.2501,81,1,2
36.6187,4.7362,0,72042.5412,3.9251,68.6576,63,1,1
41.6605,3.918,0,119102.2132,3.0369,104.8482,44,1,1
19.0359,0.7487,0,58505.7584,9.3457,111.1811,98,0,0
28.2571,0.0394,1,37354.171,6.6483,24.2251,98,0,2
30.5537,0.1166,1,40249.0841,1.072,81.4372,42,2,1
44.5335,3.6742,1,110643.0982,0.9001,12.6852,71,2,0
29.7763,0.9051,1,82510.0623,7.3654,73.4105,1,2,0
10.2209,3.3943,0,107662.8435,2.2123,49.4298,58,2,2
14.7496,4.4257,0,117329.8173,3.0568,46.5441,84,2,0
44.093,3.0869,1,30679.8891,3.8383,17.2728,6,2,1
37.2373,4.2486,0,3105.6843,4.7327,84.0223,97,2,2
12.4948,3.2381,1,13440.475,7.4313,12.3955,70,1,2
38.7572,4.1686,0,116228.4141,4.0452,104.1646,71,0,1
28.7076,3.4329,1,67528.5872,7.971,92.214,57,1,1
26.9629,4.2783,1,60976.6884,5.6651,45.1339,75,1,2
27.3312,0.5728,1,95210.7834,7.2809,103.333,61,1,1
11.7576,4.0363,0,108455.5937,4.1201,34.8032,8,1,2
36.2207,4.6851,1,112896.1863,9.3401,30.2986,87,2,2
17.8484,1.2564,1,42648.4321,8.5442,44.1678,32,1,2
25.927,3.1189,0,60488.3684,0.8504,15.5237,41,1,2
40.7041,4.3997,1,46150.4386,8.2503,6.2906,51,0,1
32.4549,3.6176,1,21247.4826,6.7413,28.4544,23,2,0
33.5553,4.6731,0,9440.9819,5.3574,44.1618,27,2,2
30.1596,4.1458,0,97582.3257,1.0965,76.0283,92,0,0
13.4125,3.9571,0,15585.4213,1.3744,103.1636,9,1,0
24.507,3.4983,1,100742.3173,3.2498,80.0278,70,1,0
25.0283,1.7084,1,24326.3127,3.6727,26.6385,22,0,1
43.9596,4.0284,1,20989.2488,9.2123,111.688,74,1,2
42.1956,4.1484,1,21063.4784,6.9079,77.714,91,0,0
42.6165,2.6764,1,46748.5487,4.6323,59.5187,29,1,1
11.2124,0.5183,1,96200.9471,3.1112,11.1743,52,0,0
36.923,3.1331,1,90236.4479,0.3586,55.0481,41,1,0
28.4756,4.8565,0,26361.9015,9.1141,89.2401,73,2,2
41.7106,1.1842,1,44204.6464,3.0636,80.9914,25,1,2
39.5321,0.0269,0,16025.2803,7.9659,84.4762,28,1,2
40.4226,4.7417,1,45586.2382,2.0751,98.6895,78,2,2
20.5929,1.8231,0,20017.7553,9.9756,69.4932,27,2,0
28.8789,2.4696,1,2183.8254,4.599,40.3998,43,0,1
32.3465,2.6705,1,73922.8445,5.6456,63.323,36,1,0
35.4842,2.1336,0,98886.5546,0.2626,34.7885,75,2,2
46.6846,3.6175,1,75264.5578,4.9274,86.1008,53,1,1
32.8697,4.0382,1,88662.6463,1.3092,105.6318,70,2,0
26.8538,0.6826,0,5531.689,6.483,30.5088,73,2,1
44.1938,4.6668,1,67811.2217,7.1305,35.388,98,2,1
28.0675,3.4718,1,17830.0976,7.0031,52.0126,47,1,2
18.4504,3.0247,0,45135.9375,2.5071,88.4077,51,1,0
21.6898,1.132,1,114763.7235,7.3095,10.2511,51,0,2
16.7093,0.9072,1,8701.5613,8.2966,81.1221,58,2,1
47.7618,0.7455,0,31348.2201,4.0514,119.1473,38,0,1
39.9551,3.0183,0,19444.9336,0.26,55.6685,26,1,1
44.2024,2.8821,0,42211.2889,5.9334,76.4793,78,2,0
21.1528,3.0489,0,110007.7754,8.7131,27.4792,51,0,2
44.7147,2.427,0,20142.8786,4.8829,30.8103,28,0,0
34.5399,0.3701,1,68265.7462,5.0417,24.7414,89,1,2
15.0174,4.1516,0,53306.5247,8.4084,21.2394,74,0,0
13.6678,4.3259,1,12389.914,0.4318,80.9151,8,0,0
28.0146,3.3489,0,28768.6434,3.1569,107.6635,10,1,2
34.5538,3.2751,1,59689.701,2.5507,58.3013,88,2,1
39.0328,3.4611,1,78045.35,6.8019,89.19,76,0,0
46.504,3.3108,0,47253.2065,4.2099,38.7356,88,2,0
39.5761,1.4648,1,90074.2646,5.5165,36.2305,13,1,2
32.2781,4.3116,0,41725.4387,4.1431,32.0333,38,1,2
13.747,3.8742,1,61207.9129,9.6729,42.9873,14,0,2
