R0_first_eval,R1_first_eval,R2_first_eval,R3_first_eval,R4_first_eval,R5_first_eval,full_coverage_eval
474.0,,474.0,,,,
585.0,,585.0,,,,
401.0,408.0,401.0,408.0,,,
301.0,681.0,301.0,,,,
346.0,319.0,319.0,,,,
493.0,396.0,396.0,428.0,,,
707.0,416.0,416.0,,,,
361.0,885.0,361.0,,,,
371.0,792.0,371.0,,,,
486.0,448.0,448.0,,,,
641.0,621.0,621.0,670.0,,,
517.0,787.0,517.0,,,,
740.0,,740.0,,,,
307.0,858.0,307.0,,,,
353.0,676.0,353.0,731.0,,,
444.0,443.0,443.0,843.0,,,
610.0,376.0,376.0,,,,
229.0,403.0,229.0,403.0,,,
,742.0,742.0,,,,
787.0,516.0,516.0,,,,
379.0,579.0,379.0,,,,
,523.0,523.0,,,,
373.0,416.0,373.0,373.0,,,
554.0,,554.0,,,,
787.0,586.0,586.0,,,,
658.0,547.0,547.0,,,,
,617.0,617.0,,,,
782.0,595.0,595.0,,,,
861.0,897.0,861.0,,,,
358.0,397.0,358.0,,,,
