elapsed_s,eval_count,violations,objectives_covered,efficiency
2694.2707257270813,900.0,4.0,3.0,0.0044444444444444444
2826.42382645607,900.0,4.0,3.0,0.0044444444444444444
3169.399864912033,900.0,6.0,3.0,0.006666666666666667
2811.9279885292053,900.0,4.0,1.0,0.0044444444444444444
2908.1383304595947,900.0,5.0,3.0,0.005555555555555556
3278.573569536209,900.0,10.0,3.0,0.011111111111111112
2979.2412445545197,900.0,14.0,3.0,0.015555555555555555
3208.70739197731,900.0,8.0,3.0,0.008888888888888889
2587.52725815773,900.0,8.0,3.0,0.008888888888888889
2506.7432823181152,900.0,3.0,3.0,0.0033333333333333335
2900.538932800293,900.0,9.0,3.0,0.01
2808.9114096164703,900.0,9.0,3.0,0.01
2586.8475501537323,900.0,7.0,3.0,0.0077777777777777776
2601.065873146057,900.0,5.0,3.0,0.005555555555555556
2339.564024925232,900.0,6.0,3.0,0.006666666666666667
2668.6665120124817,900.0,11.0,3.0,0.012222222222222223
2376.8236746788025,900.0,5.0,1.0,0.005555555555555556
2336.940401315689,900.0,7.0,1.0,0.0077777777777777776
2331.6827385425568,900.0,0.0,0.0,0.0
2400.86447930336,900.0,4.0,3.0,0.0044444444444444444
2334.580839395523,900.0,7.0,3.0,0.0077777777777777776
2515.0502014160156,900.0,8.0,3.0,0.008888888888888889
2618.412834405899,900.0,4.0,3.0,0.0044444444444444444
2486.060127735138,900.0,5.0,3.0,0.005555555555555556
2395.32194852829,900.0,4.0,3.0,0.0044444444444444444
2514.841684103012,900.0,5.0,3.0,0.005555555555555556
2496.073590040207,900.0,14.0,3.0,0.015555555555555555
2703.0451245307922,900.0,7.0,3.0,0.0077777777777777776
2424.8535254001617,900.0,5.0,3.0,0.005555555555555556
2460.294087409973,900.0,8.0,2.0,0.008888888888888889
