R0_first_eval,R1_first_eval,R2_first_eval,R3_first_eval,R4_first_eval,R5_first_eval,full_coverage_eval
833.0,570.0,570.0,,,,
705.0,486.0,486.0,,,,
363.0,550.0,363.0,,,,
684.0,,684.0,843.0,,,
696.0,679.0,679.0,707.0,,,
467.0,378.0,378.0,378.0,,,
700.0,550.0,550.0,,,,
616.0,421.0,421.0,,,,
465.0,386.0,386.0,,,,
704.0,894.0,704.0,,,,
314.0,468.0,314.0,,,,
310.0,396.0,310.0,,,,
660.0,343.0,343.0,,,,
410.0,651.0,410.0,,,,
104.0,756.0,104.0,756.0,756.0,,
325.0,418.0,325.0,,,,
359.0,,359.0,,,,
495.0,,495.0,,,,
,,,,,,
733.0,516.0,516.0,,,,
694.0,405.0,405.0,,,,
523.0,365.0,365.0,365.0,,,
679.0,434.0,434.0,434.0,,,
752.0,521.0,521.0,,,,
397.0,852.0,397.0,,,,
627.0,429.0,429.0,429.0,,,
581.0,457.0,457.0,,,,
453.0,375.0,375.0,,,,
826.0,527.0,527.0,,,,
,518.0,518.0,,,,
